ID,Year,StateAbbreviation,None,D0,D1,D2,D3,D4,StatisticFormatID
0,2009,AK,"417,130.28","165,451.20",0,0,0,0,1
1,2009,AL,"51,613.84",0,0,0,0,0,1
2,2009,AR,"53,162.75",0,0,0,0,0,1
3,2009,AZ,0,"114,034.82","110,881.68","81,172.50","5,775.17",0,1
4,2009,CA,"10,380.50","147,767.56","114,122.22","14,618.26",0,0,1
5,2009,CO,"72,088.76","32,056.90","7,835.34",0,0,0,1
6,2009,CT,"4,978.77",0,0,0,0,0,1
7,2009,DC,60.21,0,0,0,0,0,1
8,2009,DE,"2,049.97",0,0,0,0,0,1
9,2009,FL,"54,753.76","1,760.96",0,0,0,0,1
10,2009,GA,"58,777.25",0,0,0,0,0,1
11,2009,HI,"1,985.51","4,486.57","3,458.78","1,864.60",329.72,0,1
12,2009,IA,"56,311.50",0,0,0,0,0,1
13,2009,ID,"45,476.63","38,091.81",0,0,0,0,1
14,2009,IL,"56,382.55",0,0,0,0,0,1
15,2009,IN,"36,199.11",0,0,0,0,0,1
16,2009,KS,"82,287.40",0,0,0,0,0,1
17,2009,KY,"40,357.37",0,0,0,0,0,1
18,2009,LA,"46,909.56",0,0,0,0,0,1
19,2009,MA,"8,137.17",0,0,0,0,0,1
20,2009,MD,"9,805.81",0,0,0,0,0,1
21,2009,ME,"32,469.86",0,0,0,0,0,1
22,2009,MI,"51,010.26","7,147.30","2,333.31",0,0,0,1
23,2009,MN,"58,982.99","25,398.19","1,299.34",0,0,0,1
24,2009,MO,"69,718.06",0,0,0,0,0,1
25,2009,MS,"47,714.28",0,0,0,0,0,1
26,2009,MT,"77,337.26","69,751.06",0,0,0,0,1
27,2009,NC,"49,268.58",0,0,0,0,0,1
28,2009,ND,"62,991.15","7,715.14",0,0,0,0,1
29,2009,NE,"77,300.00",0,0,0,0,0,1
30,2009,NH,"9,259.90",0,0,0,0,0,1
31,2009,NJ,"7,642.73",0,0,0,0,0,1
32,2009,NM,"69,189.16","52,384.04","12,289.51","2,748.71",0,0,1
33,2009,NV,"22,346.56","88,188.28","57,895.32","10,902.66",0,0,1
34,2009,NY,"48,561.12",0,0,0,0,0,1
35,2009,OH,"41,309.55",0,0,0,0,0,1
36,2009,OK,"69,899.87",0,0,0,0,0,1
37,2009,OR,"43,512.38","53,402.31","6,352.78",0,0,0,1
38,2009,PA,"45,289.06",0,0,0,0,0,1
39,2009,PR,"3,154.13",301.72,0,0,0,0,1
40,2009,RI,"1,095.85",0,0,0,0,0,1
41,2009,SC,"30,900.59",0,0,0,0,0,1
42,2009,SD,"77,127.06",0,0,0,0,0,1
43,2009,TN,"42,155.22",0,0,0,0,0,1
44,2009,TX,"193,301.85","71,852.39","18,518.58","6,137.20",0,0,1
45,2009,UT,"29,408.92","55,469.14","15,981.39","2,703.24",0,0,1
46,2009,VA,"39,967.60",0,0,0,0,0,1
47,2009,VT,"9,633.10",0,0,0,0,0,1
48,2009,WA,"29,353.23","38,144.81","11,844.27","5,277.34",0,0,1
49,2009,WI,"32,220.82","23,827.63","13,747.10","3,979.58",0,0,1
