Program,Year,Period,Geo Level,State,State ANSI,Commodity,Data Item,Domain,Domain Category,Value
SURVEY,2019,YEAR,STATE,ALABAMA,1,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,161
SURVEY,2019,YEAR,STATE,ARKANSAS,5,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,177
SURVEY,2019,YEAR,STATE,CALIFORNIA,6,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,161
SURVEY,2019,YEAR,STATE,COLORADO,8,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,148
SURVEY,2019,YEAR,STATE,DELAWARE,10,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,160
SURVEY,2019,YEAR,STATE,GEORGIA,13,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,166
SURVEY,2019,YEAR,STATE,IDAHO,16,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,200
SURVEY,2019,YEAR,STATE,ILLINOIS,17,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,180
SURVEY,2019,YEAR,STATE,INDIANA,18,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,161
SURVEY,2019,YEAR,STATE,IOWA,19,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,191
SURVEY,2019,YEAR,STATE,KANSAS,20,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,136
SURVEY,2019,YEAR,STATE,KENTUCKY,21,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,177
SURVEY,2019,YEAR,STATE,LOUISIANA,22,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,166
SURVEY,2019,YEAR,STATE,MARYLAND,24,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,165
SURVEY,2019,YEAR,STATE,MICHIGAN,26,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,148
SURVEY,2019,YEAR,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,171
SURVEY,2019,YEAR,STATE,MISSISSIPPI,28,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,176
SURVEY,2019,YEAR,STATE,MISSOURI,29,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,160
SURVEY,2019,YEAR,STATE,NEBRASKA,31,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,186
SURVEY,2019,YEAR,STATE,NEW YORK,36,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,154
SURVEY,2019,YEAR,STATE,NORTH CAROLINA,37,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,110
SURVEY,2019,YEAR,STATE,NORTH DAKOTA,38,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,145
SURVEY,2019,YEAR,STATE,OHIO,39,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,158
SURVEY,2019,YEAR,STATE,OKLAHOMA,40,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,140
SURVEY,2019,YEAR,STATE,OTHER STATES,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,166.4
SURVEY,2019,YEAR,STATE,PENNSYLVANIA,42,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,155
SURVEY,2019,YEAR,STATE,SOUTH CAROLINA,45,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,117
SURVEY,2019,YEAR,STATE,SOUTH DAKOTA,46,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,156
SURVEY,2019,YEAR,STATE,TENNESSEE,47,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,175
SURVEY,2019,YEAR,STATE,TEXAS,48,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,140
SURVEY,2019,YEAR,STATE,VIRGINIA,51,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,149
SURVEY,2019,YEAR,STATE,WASHINGTON,53,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,200
SURVEY,2019,YEAR,STATE,WISCONSIN,55,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,163
SURVEY,2019,YEAR - AUG FORECAST,STATE,ALABAMA,1,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,161
SURVEY,2019,YEAR - AUG FORECAST,STATE,ARKANSAS,5,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,180
SURVEY,2019,YEAR - AUG FORECAST,STATE,CALIFORNIA,6,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,166
SURVEY,2019,YEAR - AUG FORECAST,STATE,COLORADO,8,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,150
SURVEY,2019,YEAR - AUG FORECAST,STATE,DELAWARE,10,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,165
SURVEY,2019,YEAR - AUG FORECAST,STATE,GEORGIA,13,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,170
SURVEY,2019,YEAR - AUG FORECAST,STATE,IDAHO,16,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,210
SURVEY,2019,YEAR - AUG FORECAST,STATE,ILLINOIS,17,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,181
SURVEY,2019,YEAR - AUG FORECAST,STATE,INDIANA,18,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,166
SURVEY,2019,YEAR - AUG FORECAST,STATE,IOWA,19,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,191
SURVEY,2019,YEAR - AUG FORECAST,STATE,KANSAS,20,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,135
SURVEY,2019,YEAR - AUG FORECAST,STATE,KENTUCKY,21,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,181
SURVEY,2019,YEAR - AUG FORECAST,STATE,LOUISIANA,22,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,181
SURVEY,2019,YEAR - AUG FORECAST,STATE,MARYLAND,24,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,170
SURVEY,2019,YEAR - AUG FORECAST,STATE,MICHIGAN,26,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,155
SURVEY,2019,YEAR - AUG FORECAST,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,173
SURVEY,2019,YEAR - AUG FORECAST,STATE,MISSISSIPPI,28,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,176
SURVEY,2019,YEAR - AUG FORECAST,STATE,MISSOURI,29,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,160
