Year,Frequency,Commodity,Geography,Unit,AlcoholforFuel,FoodSeedIndustrial,FeedandResidual
1986,Q1 Sep-Nov,Corn,United States,Million bushels,67.943,294.473,1347.813
1986,Q2 Dec-Feb,Corn,United States,Million bushels,71.514,281.491,1463.15
1986,Q3 Mar-May,Corn,United States,Million bushels,77.433,332.613,1087.691
1986,Q4 Jun-Aug,Corn,United States,Million bushels,73.102,324.834,760.813
1987,Q1 Sep-Nov,Corn,United States,Million bushels,67.245,296.133,1550.856
1987,Q2 Dec-Feb,Corn,United States,Million bushels,69.087,287.58,1443.791
1987,Q3 Mar-May,Corn,United States,Million bushels,72.962,336.842,951.23
1987,Q4 Jun-Aug,Corn,United States,Million bushels,69.851,331.092,843.367
1988,Q1 Sep-Nov,Corn,United States,Million bushels,70.847,302.286,1343.769
1988,Q2 Dec-Feb,Corn,United States,Million bushels,76.469,301.351,1064.258
1988,Q3 Mar-May,Corn,United States,Million bushels,72.52,352.931,841.289
1988,Q4 Jun-Aug,Corn,United States,Million bushels,67.61,341.192,684.594
1989,Q1 Sep-Nov,Corn,United States,Million bushels,63.647,311.94,1486.722
1989,Q2 Dec-Feb,Corn,United States,Million bushels,80.471,312.905,1275.564
1989,Q3 Mar-May,Corn,United States,Million bushels,89.467,376.009,993.064
1989,Q4 Jun-Aug,Corn,United States,Million bushels,87.861,369.186,627.134
1990,Q1 Sep-Nov,Corn,United States,Million bushels,76.166,337.532,1618.744
1990,Q2 Dec-Feb,Corn,United States,Million bushels,86.986,329.87,1351.049
1990,Q3 Mar-May,Corn,United States,Million bushels,90.879,384.036,960.025
1990,Q4 Jun-Aug,Corn,United States,Million bushels,95.036,373.676,679.089
1991,Q1 Sep-Nov,Corn,United States,Million bushels,97.732,360.451,1673.65
1991,Q2 Dec-Feb,Corn,United States,Million bushels,100.223,362.222,1266.825
1991,Q3 Mar-May,Corn,United States,Million bushels,100.877,414.532,1041.847
1991,Q4 Jun-Aug,Corn,United States,Million bushels,99.432,396.301,815.591
1992,Q1 Sep-Nov,Corn,United States,Million bushels,103.057,370.076,1814.316
1992,Q2 Dec-Feb,Corn,United States,Million bushels,106.333,365.046,1401.098
1992,Q3 Mar-May,Corn,United States,Million bushels,112.001,413.716,1145.764
1992,Q4 Jun-Aug,Corn,United States,Million bushels,104.119,406.914,890.911
1993,Q1 Sep-Nov,Corn,United States,Million bushels,110.447,382.787,1701.179
1993,Q2 Dec-Feb,Corn,United States,Million bushels,117.923,378.918,1239.916
1993,Q3 Mar-May,Corn,United States,Million bushels,113.104,422.715,949.507
1993,Q4 Jun-Aug,Corn,United States,Million bushels,116.786,428.734,789.248
1994,Q1 Sep-Nov,Corn,United States,Million bushels,132.751,410.361,1962.546
1994,Q2 Dec-Feb,Corn,United States,Million bushels,140.176,410.53,1491.634
1994,Q3 Mar-May,Corn,United States,Million bushels,139.114,452.481,1159.076
1994,Q4 Jun-Aug,Corn,United States,Million bushels,120.751,441.825,846.405
1995,Q1 Sep-Nov,Corn,United States,Million bushels,121.2,417.151,1778.124
1995,Q2 Dec-Feb,Corn,United States,Million bushels,120.8,405.541,1343.51
1995,Q3 Mar-May,Corn,United States,Million bushels,92.2,434.522,1042.448
1995,Q4 Jun-Aug,Corn,United States,Million bushels,61.5,372.734,526.648
1996,Q1 Sep-Nov,Corn,United States,Million bushels,91.918,387.863,1884.507
