Program,Year,Period,Geo Level,State,State ANSI,Commodity,Data Item,Domain,Domain Category,Value
SURVEY,2019,YEAR,STATE,ALABAMA,1,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,49105000
SURVEY,2019,YEAR,STATE,ARKANSAS,5,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,132750000
SURVEY,2019,YEAR,STATE,CALIFORNIA,6,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,11270000
SURVEY,2019,YEAR,STATE,COLORADO,8,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,180560000
SURVEY,2019,YEAR,STATE,DELAWARE,10,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,28800000
SURVEY,2019,YEAR,STATE,GEORGIA,13,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,55610000
SURVEY,2019,YEAR,STATE,IDAHO,16,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,24000000
SURVEY,2019,YEAR,STATE,ILLINOIS,17,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,1881000000
SURVEY,2019,YEAR,STATE,INDIANA,18,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,788900000
SURVEY,2019,YEAR,STATE,IOWA,19,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,2521200000
SURVEY,2019,YEAR,STATE,KANSAS,20,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,816000000
SURVEY,2019,YEAR,STATE,KENTUCKY,21,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,265500000
SURVEY,2019,YEAR,STATE,LOUISIANA,22,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,91300000
SURVEY,2019,YEAR,STATE,MARYLAND,24,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,70950000
SURVEY,2019,YEAR,STATE,MICHIGAN,26,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,251600000
SURVEY,2019,YEAR,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,1265400000
