Year,Geo Level ,State,Commodity,Unit,Corn_For_Food_Amount,Corn_Residual_Amount,Corn_Prices,Corn_Yield_Per_Acre,Corn_Alcohol_Usage,Grain_Production_Amount,CV(%)
1980,United States,-,Corn,Million bushels,154.5,0,0,0,0,0,0
1980,NATIONAL,-,Corn,Million bushels,144.7,0,0,0,0,0,0
1980,NATIONAL,-,Corn,Million bushels,182.6,0,0,0,0,0,0
1980,NATIONAL,-,Corn,Million bushels,177.4,0,0,0,0,0,0
1981,NATIONAL,-,Corn,Million bushels,173.3,0,0,0,0,0,0
1981,NATIONAL,-,Corn,Million bushels,165.4,0,0,0,0,0,0
1981,NATIONAL,-,Corn,Million bushels,201.3,0,0,0,0,0,0
1981,NATIONAL,-,Corn,Million bushels,193.4,0,0,0,0,0,0
1982,NATIONAL,-,Corn,Million bushels,207.5,0,0,0,0,0,0
1982,NATIONAL,-,Corn,Million bushels,192.4,0,0,0,0,0,0
1982,NATIONAL,-,Corn,Million bushels,227.8,0,0,0,0,0,0
1982,NATIONAL,-,Corn,Million bushels,226.8,0,0,0,0,0,0
1983,NATIONAL,-,Corn,Million bushels,227.4,0,0,0,0,0,0
1983,NATIONAL,-,Corn,Million bushels,212.3,0,0,0,0,0,0
1983,NATIONAL,-,Corn,Million bushels,252.5,0,0,0,0,0,0
1983,NATIONAL,-,Corn,Million bushels,237.9,0,0,0,0,0,0
1984,NATIONAL,-,Corn,Million bushels,244.1,0,0,0,0,0,0
1984,NATIONAL,-,Corn,Million bushels,236.1,0,0,0,0,0,0
1984,NATIONAL,-,Corn,Million bushels,294.4,0,0,0,0,0,0
1984,NATIONAL,-,Corn,Million bushels,292.6,0,0,0,0,0,0
1985,NATIONAL,-,Corn,Million bushels,276.3,0,0,0,0,0,0
1985,NATIONAL,-,Corn,Million bushels,262.4,0,0,0,0,0,0
1985,NATIONAL,-,Corn,Million bushels,307.3,0,0,0,0,0,0
1985,NATIONAL,-,Corn,Million bushels,306.5,0,0,0,0,0,0
1986,NATIONAL,-,Corn,Million bushels,294.473,0,0,0,0,0,0
1986,NATIONAL,-,Corn,Million bushels,281.491,0,0,0,0,0,0
1986,NATIONAL,-,Corn,Million bushels,332.613,0,0,0,0,0,0
1986,NATIONAL,-,Corn,Million bushels,324.834,0,0,0,0,0,0
1987,NATIONAL,-,Corn,Million bushels,296.133,0,0,0,0,0,0
1987,NATIONAL,-,Corn,Million bushels,287.58,0,0,0,0,0,0
1987,NATIONAL,-,Corn,Million bushels,336.842,0,0,0,0,0,0
1987,NATIONAL,-,Corn,Million bushels,331.092,0,0,0,0,0,0
1988,NATIONAL,-,Corn,Million bushels,302.286,0,0,0,0,0,0
1988,NATIONAL,-,Corn,Million bushels,301.351,0,0,0,0,0,0
1988,NATIONAL,-,Corn,Million bushels,352.931,0,0,0,0,0,0
1988,NATIONAL,-,Corn,Million bushels,341.192,0,0,0,0,0,0
1989,NATIONAL,-,Corn,Million bushels,311.94,0,0,0,0,0,0
1989,NATIONAL,-,Corn,Million bushels,312.905,0,0,0,0,0,0
1989,NATIONAL,-,Corn,Million bushels,376.009,0,0,0,0,0,0
1989,NATIONAL,-,Corn,Million bushels,369.186,0,0,0,0,0,0
1990,NATIONAL,-,Corn,Million bushels,337.532,0,0,0,0,0,0
1990,NATIONAL,-,Corn,Million bushels,329.87,0,0,0,0,0,0
1990,NATIONAL,-,Corn,Million bushels,384.036,0,0,0,0,0,0
1990,NATIONAL,-,Corn,Million bushels,373.676,0,0,0,0,0,0
1991,NATIONAL,-,Corn,Million bushels,360.451,0,0,0,0,0,0
1991,NATIONAL,-,Corn,Million bushels,362.222,0,0,0,0,0,0
1991,NATIONAL,-,Corn,Million bushels,414.532,0,0,0,0,0,0
1991,NATIONAL,-,Corn,Million bushels,396.301,0,0,0,0,0,0
1992,NATIONAL,-,Corn,Million bushels,370.076,0,0,0,0,0,0
1992,NATIONAL,-,Corn,Million bushels,365.046,0,0,0,0,0,0
1992,NATIONAL,-,Corn,Million bushels,413.716,0,0,0,0,0,0
1992,NATIONAL,-,Corn,Million bushels,406.914,0,0,0,0,0,0
1993,NATIONAL,-,Corn,Million bushels,382.787,0,0,0,0,0,0
1993,NATIONAL,-,Corn,Million bushels,378.918,0,0,0,0,0,0
1993,NATIONAL,-,Corn,Million bushels,422.715,0,0,0,0,0,0
1993,NATIONAL,-,Corn,Million bushels,428.734,0,0,0,0,0,0
1994,NATIONAL,-,Corn,Million bushels,410.361,0,0,0,0,0,0
1994,NATIONAL,-,Corn,Million bushels,410.53,0,0,0,0,0,0
1994,NATIONAL,-,Corn,Million bushels,452.481,0,0,0,0,0,0
1994,NATIONAL,-,Corn,Million bushels,441.825,0,0,0,0,0,0
1995,NATIONAL,-,Corn,Million bushels,417.151,0,0,0,0,0,0
1995,NATIONAL,-,Corn,Million bushels,405.541,0,0,0,0,0,0
1995,NATIONAL,-,Corn,Million bushels,434.522,0,0,0,0,0,0
1995,NATIONAL,-,Corn,Million bushels,372.734,0,0,0,0,0,0
1996,NATIONAL,-,Corn,Million bushels,387.863,0,0,0,0,0,0
1996,NATIONAL,-,Corn,Million bushels,400.324,0,0,0,0,0,0
1996,NATIONAL,-,Corn,Million bushels,472.951,0,0,0,0,0,0
1996,NATIONAL,-,Corn,Million bushels,454.992,0,0,0,0,0,0
1997,NATIONAL,-,Corn,Million bushels,438.7317248,0,0,0,0,0,0
1997,NATIONAL,-,Corn,Million bushels,433.0108968,0,0,0,0,0,0
1997,NATIONAL,-,Corn,Million bushels,481.7152819,0,0,0,0,0,0
1997,NATIONAL,-,Corn,Million bushels,485.2739985,0,0,0,0,0,0
1998,NATIONAL,-,Corn,Million bushels,450.2762117,0,0,0,0,0,0
1998,NATIONAL,-,Corn,Million bushels,441.0476783,0,0,0,0,0,0
1998,NATIONAL,-,Corn,Million bushels,502.8100706,0,0,0,0,0,0
1998,NATIONAL,-,Corn,Million bushels,470.1771976,0,0,0,0,0,0
1999,NATIONAL,-,Corn,Million bushels,463.6447128,0,0,0,0,0,0
1999,NATIONAL,-,Corn,Million bushels,454.1081063,0,0,0,0,0,0
1999,NATIONAL,-,Corn,Million bushels,523.0136007,0,0,0,0,0,0
1999,NATIONAL,-,Corn,Million bushels,497.578908,0,0,0,0,0,0
2000,NATIONAL,-,Corn,Million bushels,472.4194571,0,0,0,0,0,0
2000,NATIONAL,-,Corn,Million bushels,470.2933386,0,0,0,0,0,0
2000,NATIONAL,-,Corn,Million bushels,522.251506,0,0,0,0,0,0
2000,NATIONAL,-,Corn,Million bushels,515.1016386,0,0,0,0,0,0
2001,NATIONAL,-,Corn,Million bushels,497.2719451,0,0,0,0,0,0
2001,NATIONAL,-,Corn,Million bushels,485.1472069,0,0,0,0,0,0
2001,NATIONAL,-,Corn,Million bushels,546.0049479,0,0,0,0,0,0
2001,NATIONAL,-,Corn,Million bushels,537.0153703,0,0,0,0,0,0
2002,NATIONAL,-,Corn,Million bushels,552.6818999,0,0,0,0,0,0
2002,NATIONAL,-,Corn,Million bushels,565.6700992,0,0,0,0,0,0
2002,NATIONAL,-,Corn,Million bushels,625.0527292,0,0,0,0,0,0
2002,NATIONAL,-,Corn,Million bushels,615.1590023,0,0,0,0,0,0
2003,NATIONAL,-,Corn,Million bushels,592.6188514,0,0,0,0,0,0
2003,NATIONAL,-,Corn,Million bushels,610.6006779,0,0,0,0,0,0
2003,NATIONAL,-,Corn,Million bushels,682.5455391,0,0,0,0,0,0
2003,NATIONAL,-,Corn,Million bushels,666.7282895,0,0,0,0,0,0
2004,NATIONAL,-,Corn,Million bushels,645.2692932,0,0,0,0,0,0
2004,NATIONAL,-,Corn,Million bushels,639.6889325,0,0,0,0,0,0
2004,NATIONAL,-,Corn,Million bushels,709.84997,0,0,0,0,0,0
2004,NATIONAL,-,Corn,Million bushels,716.0158046,0,0,0,0,0,0
2005,NATIONAL,-,Corn,Million bushels,706.0631445,0,0,0,0,0,0
2005,NATIONAL,-,Corn,Million bushels,715.593474,0,0,0,0,0,0
