Year,Frequency,Attribute,Commodity,Geography,Unit,Amount
1975,Q1 Sep-Nov,Feed and residual use,Corn,United States,Million bushels,927.673
1975,Q2 Dec-Feb,Feed and residual use,Corn,United States,Million bushels,1060.361
1975,Q3 Mar-May,Feed and residual use,Corn,United States,Million bushels,912.515
1975,Q4 Jun-Aug,Feed and residual use,Corn,United States,Million bushels,681.211
1976,Q1 Sep-Nov,Feed and residual use,Corn,United States,Million bushels,936.572
1976,Q2 Dec-Feb,Feed and residual use,Corn,United States,Million bushels,1038.892
1976,Q3 Mar-May,Feed and residual use,Corn,United States,Million bushels,899.836
1976,Q4 Jun-Aug,Feed and residual use,Corn,United States,Million bushels,726.581
1977,Q1 Sep-Nov,Feed and residual use,Corn,United States,Million bushels,1016.577
1977,Q2 Dec-Feb,Feed and residual use,Corn,United States,Million bushels,1069.293
1977,Q3 Mar-May,Feed and residual use,Corn,United States,Million bushels,939.432
1977,Q4 Jun-Aug,Feed and residual use,Corn,United States,Million bushels,704.441
1978,Q1 Sep-Nov,Feed and residual use,Corn,United States,Million bushels,1160.223
1978,Q2 Dec-Feb,Feed and residual use,Corn,United States,Million bushels,1228.996
1978,Q3 Mar-May,Feed and residual use,Corn,United States,Million bushels,1136.449
1978,Q4 Jun-Aug,Feed and residual use,Corn,United States,Million bushels,748.694
1979,Q1 Sep-Nov,Feed and residual use,Corn,United States,Million bushels,1270.98
1979,Q2 Dec-Feb,Feed and residual use,Corn,United States,Million bushels,1299.23
1979,Q3 Mar-May,Feed and residual use,Corn,United States,Million bushels,1149.527
1979,Q4 Jun-Aug,Feed and residual use,Corn,United States,Million bushels,843.306
1980,Q1 Sep-Nov,Feed and residual use,Corn,United States,Million bushels,1235.721
1980,Q2 Dec-Feb,Feed and residual use,Corn,United States,Million bushels,1142.829
1980,Q3 Mar-May,Feed and residual use,Corn,United States,Million bushels,1092.393
1980,Q4 Jun-Aug,Feed and residual use,Corn,United States,Million bushels,761.195
1981,Q1 Sep-Nov,Feed and residual use,Corn,United States,Million bushels,1217.381
1981,Q2 Dec-Feb,Feed and residual use,Corn,United States,Million bushels,1199.236
1981,Q3 Mar-May,Feed and residual use,Corn,United States,Million bushels,1089.201
1981,Q4 Jun-Aug,Feed and residual use,Corn,United States,Million bushels,738.727
1982,Q1 Sep-Nov,Feed and residual use,Corn,United States,Million bushels,1215.012
1982,Q2 Dec-Feb,Feed and residual use,Corn,United States,Million bushels,1305.189
1982,Q3 Mar-May,Feed and residual use,Corn,United States,Million bushels,1272.274
1982,Q4 Jun-Aug,Feed and residual use,Corn,United States,Million bushels,780.77
1983,Q1 Sep-Nov,Feed and residual use,Corn,United States,Million bushels,1325.275
1983,Q2 Dec-Feb,Feed and residual use,Corn,United States,Million bushels,1068.82
1983,Q3 Mar-May,Feed and residual use,Corn,United States,Million bushels,954.487
1983,Q4 Jun-Aug,Feed and residual use,Corn,United States,Million bushels,527.68
1984,Q1 Sep-Nov,Feed and residual use,Corn,United States,Million bushels,1300.708
1984,Q2 Dec-Feb,Feed and residual use,Corn,United States,Million bushels,1191.467
1984,Q3 Mar-May,Feed and residual use,Corn,United States,Million bushels,1019.422
1984,Q4 Jun-Aug,Feed and residual use,Corn,United States,Million bushels,602.915
1985,Q1 Sep-Nov,Feed and residual use,Corn,United States,Million bushels,1218.713
1985,Q2 Dec-Feb,Feed and residual use,Corn,United States,Million bushels,1305.947
1985,Q3 Mar-May,Feed and residual use,Corn,United States,Million bushels,1090.542
1985,Q4 Jun-Aug,Feed and residual use,Corn,United States,Million bushels,498.995
1986,Q1 Sep-Nov,Feed and residual use,Corn,United States,Million bushels,1347.813
1986,Q2 Dec-Feb,Feed and residual use,Corn,United States,Million bushels,1463.15
1986,Q3 Mar-May,Feed and residual use,Corn,United States,Million bushels,1087.691
1986,Q4 Jun-Aug,Feed and residual use,Corn,United States,Million bushels,760.813
1987,Q1 Sep-Nov,Feed and residual use,Corn,United States,Million bushels,1550.856
1987,Q2 Dec-Feb,Feed and residual use,Corn,United States,Million bushels,1443.791
1987,Q3 Mar-May,Feed and residual use,Corn,United States,Million bushels,951.23
1987,Q4 Jun-Aug,Feed and residual use,Corn,United States,Million bushels,843.367
1988,Q1 Sep-Nov,Feed and residual use,Corn,United States,Million bushels,1343.769
1988,Q2 Dec-Feb,Feed and residual use,Corn,United States,Million bushels,1064.258
1988,Q3 Mar-May,Feed and residual use,Corn,United States,Million bushels,841.289
1988,Q4 Jun-Aug,Feed and residual use,Corn,United States,Million bushels,684.594
1989,Q1 Sep-Nov,Feed and residual use,Corn,United States,Million bushels,1486.722
1989,Q2 Dec-Feb,Feed and residual use,Corn,United States,Million bushels,1275.564
1989,Q3 Mar-May,Feed and residual use,Corn,United States,Million bushels,993.064
1989,Q4 Jun-Aug,Feed and residual use,Corn,United States,Million bushels,627.134
1990,Q1 Sep-Nov,Feed and residual use,Corn,United States,Million bushels,1618.744
1990,Q2 Dec-Feb,Feed and residual use,Corn,United States,Million bushels,1351.049
1990,Q3 Mar-May,Feed and residual use,Corn,United States,Million bushels,960.025
1990,Q4 Jun-Aug,Feed and residual use,Corn,United States,Million bushels,679.089
1991,Q1 Sep-Nov,Feed and residual use,Corn,United States,Million bushels,1673.65
1991,Q2 Dec-Feb,Feed and residual use,Corn,United States,Million bushels,1266.825
1991,Q3 Mar-May,Feed and residual use,Corn,United States,Million bushels,1041.847
1991,Q4 Jun-Aug,Feed and residual use,Corn,United States,Million bushels,815.591
1992,Q1 Sep-Nov,Feed and residual use,Corn,United States,Million bushels,1814.316
1992,Q2 Dec-Feb,Feed and residual use,Corn,United States,Million bushels,1401.098
1992,Q3 Mar-May,Feed and residual use,Corn,United States,Million bushels,1145.764
1992,Q4 Jun-Aug,Feed and residual use,Corn,United States,Million bushels,890.911
1993,Q1 Sep-Nov,Feed and residual use,Corn,United States,Million bushels,1701.179
1993,Q2 Dec-Feb,Feed and residual use,Corn,United States,Million bushels,1239.916
1993,Q3 Mar-May,Feed and residual use,Corn,United States,Million bushels,949.507
1993,Q4 Jun-Aug,Feed and residual use,Corn,United States,Million bushels,789.248
1994,Q1 Sep-Nov,Feed and residual use,Corn,United States,Million bushels,1962.546
1994,Q2 Dec-Feb,Feed and residual use,Corn,United States,Million bushels,1491.634
1994,Q3 Mar-May,Feed and residual use,Corn,United States,Million bushels,1159.076
1994,Q4 Jun-Aug,Feed and residual use,Corn,United States,Million bushels,846.405
1995,Q1 Sep-Nov,Feed and residual use,Corn,United States,Million bushels,1778.124
1995,Q2 Dec-Feb,Feed and residual use,Corn,United States,Million bushels,1343.51
1995,Q3 Mar-May,Feed and residual use,Corn,United States,Million bushels,1042.448
1995,Q4 Jun-Aug,Feed and residual use,Corn,United States,Million bushels,526.648
1996,Q1 Sep-Nov,Feed and residual use,Corn,United States,Million bushels,1884.507
1996,Q2 Dec-Feb,Feed and residual use,Corn,United States,Million bushels,1486.177
1996,Q3 Mar-May,Feed and residual use,Corn,United States,Million bushels,1095.467
1996,Q4 Jun-Aug,Feed and residual use,Corn,United States,Million bushels,808.882
1997,Q1 Sep-Nov,Feed and residual use,Corn,United States,Million bushels,2026.623
1997,Q2 Dec-Feb,Feed and residual use,Corn,United States,Million bushels,1494.932
1997,Q3 Mar-May,Feed and residual use,Corn,United States,Million bushels,1071.71
1997,Q4 Jun-Aug,Feed and residual use,Corn,United States,Million bushels,854.577
1998,Q1 Sep-Nov,Feed and residual use,Corn,United States,Million bushels,2118.172
1998,Q2 Dec-Feb,Feed and residual use,Corn,United States,Million bushels,1453.003
1998,Q3 Mar-May,Feed and residual use,Corn,United States,Million bushels,1089.276
1998,Q4 Jun-Aug,Feed and residual use,Corn,United States,Million bushels,789.361
1999,Q1 Sep-Nov,Feed and residual use,Corn,United States,Million bushels,2183.032
1999,Q2 Dec-Feb,Feed and residual use,Corn,United States,Million bushels,1521.742
1999,Q3 Mar-May,Feed and residual use,Corn,United States,Million bushels,1047.31
